ID Action,Axe,Objectif stratégique,Action originale,Action originale EN,Chantier suggéré,Confiance,Raison,Action réécrite,Action réécrite EN,Statut analyse,Projet,Nom projet,Description projet,Description projet EN,Notes analyse,Coordination,Destination,Approuvé,Statut objectif
CA-MOB-OS2-b,Champ d'action : Mobilisation des connaissances,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,Identifier les besoins des groupes cibles en matière d'accès et utilisation des connaissances,Identify target groups' needs for access to and use of knowledge,Écoute et Consultation,CLAIR,Identifier les besoins des utilisateurs de la recherche = consultation,,,keep,É1,Consultations des besoins par public cible,"Consultations, ateliers et enquêtes pour identifier les besoins et attentes de groupes spécifiques du RSN.","Consultations, workshops and surveys to identify the needs and expectations of specific RSN groups.","Groupes cibles ici = utilisateurs internes de la recherche (chercheurs, professionnels, milieux preneurs) contextuellement à l'OS2. Fusion potentielle intra-OS2 avec OS2-a à proposer dans le mail (cycle besoins utilisateurs → résumés conviviaux).",,,oui,en cours
CA-MOB-OS2-c,Champ d'action : Mobilisation des connaissances,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,Collaborer activement avec les axes et le comité étudiant,Actively collaborate with the axes and the student committee,Maillage et Concertation,CLAIR,'Collaborer activement' est très flou,À CLARIFIER: Quelles actions concrètes?,Actively collaborate with the axes and the student committee,rewrite,M1,Tables de concertation thématiques,Espaces de discussion inter-groupes au sein du RSN autour de thèmes spécifiques.,Cross-group discussion spaces within the RSN around specific themes.,,,,oui,non démarré
CA-MOB-OS2-d,Champ d'action : Mobilisation des connaissances,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,Porter attention au problème de disponibilité et de biais pour les données populations marginalisées,Pay attention to the issue of data availability and bias for marginalized populations,Guides & Outils,FAIBLE,'Porter attention' n'est pas une action,,,,G3,Grilles de référence par principe directeur,"Pour chaque principe directeur, produire UNE grille de référence couvrant à la fois les critères d'intégration dans les projets ET les indicateurs de mesure d'impact.","For each guiding principle, produce ONE reference grid covering both project-integration criteria AND impact indicators.",Intention valide mais trop vague comme action. À transformer en guide concret. | À CLARIFIER: Quel livrable concernant les biais?,,,oui,non démarré
CA-MOB-OS3-a,Champ d'action : Mobilisation des connaissances,Renforcer l'engagement citoyen et la littératie numérique en santé par la diffusion accessible des connaissances et des pratiques fondées sur des données probantes,Accéder aux revues de littérature existantes et les compiler au besoin,Access existing literature reviews and compile them as needed,Répertoires & Cartographie,CLAIR,Compiler revues = répertoire,,,,R3,Répertoire des outils et ressources thématiques,"Inventaire des outils, méthodes et ressources existants par thématique transversale (EDIA, engagement citoyen, science ouverte, etc.).","Inventory of existing tools, methods and resources by cross-cutting theme (EDIA, citizen engagement, open science, etc.).",Compilation des revues de littérature existantes comme ressources de référence.,,,oui,non démarré
CA-MOB-OS3-b,Champ d'action : Mobilisation des connaissances,Renforcer l'engagement citoyen et la littératie numérique en santé par la diffusion accessible des connaissances et des pratiques fondées sur des données probantes,Développer un bulletin d'informations régulier pour le partage des résultats de recherche,Develop a regular newsletter to share research findings,Événements & Rayonnement,CLAIR,Bulletin d'informations = outil de communication grand public,,,keep,Év3,Communications et contenus de diffusion,"Production de contenus (bulletins, balados, réseaux sociaux) pour le rayonnement du réseau.","Content production (newsletters, podcasts, social media) for network outreach.","Fusion potentielle intra-OS3 avec OS3-c à proposer dans le mail : « Identifier les besoins des citoyens et du grand public, et développer un bulletin d'informations régulier qui y répond » (cycle besoins citoyens → bulletin).",,,oui,non démarré
CA-MOB-OS3-c,Champ d'action : Mobilisation des connaissances,Renforcer l'engagement citoyen et la littératie numérique en santé par la diffusion accessible des connaissances et des pratiques fondées sur des données probantes,Identifier les besoins des groupes cibles en matière d'accès et utilisation des connaissances,Identify target groups' needs for access to and use of knowledge,Écoute et Consultation,CLAIR,Identifier les besoins des citoyens et grand public = consultation,,,keep,É1,Consultations des besoins par public cible,"Consultations, ateliers et enquêtes pour identifier les besoins et attentes de groupes spécifiques du RSN.","Consultations, workshops and surveys to identify the needs and expectations of specific RSN groups.",Groupes cibles ici = citoyens et grand public contextuellement à l'OS3 (engagement citoyen + littératie). Texte identique à OS2-b mais public différent — à expliciter dans le mail. Fusion potentielle intra-OS3 avec OS3-b à proposer (cycle besoins citoyens → bulletin).,,,oui,non démarré
CA-RENF-OS1-a,Champ d'action : Renforcement des capacités,Consolider les compétences de l'ensemble des chercheur(e)s,Développer des communautés de pratique,Develop communities of practice,Maillage et Concertation,CLAIR,Communautés de pratique = maillage,,,keep,M3,Communautés de pratique et réseaux collaboratifs,Maillage entre chercheurs et apprentissage entre pairs via des communautés de pratique.,Networking between researchers and peer learning through communities of practice.,Fusion potentielle intra-OS1 avec OS1-b à proposer dans le mail : « Développer des communautés de pratique et des réseaux d'apprentissages collaboratifs pour partager les défis et solutions rencontrés dans les projets ».,,,oui,non démarré
CA-RENF-OS1-b,Champ d'action : Renforcement des capacités,Consolider les compétences de l'ensemble des chercheur(e)s,"Créer des réseaux d'apprentissages collaboratifs pour partager les défis, expériences et solutions rencontrés dans les projets","Create collaborative learning networks to share challenges, experiences and solutions encountered in projects",Maillage et Concertation,CLAIR,Réseaux collaboratifs = maillage,,,keep,M3,Communautés de pratique et réseaux collaboratifs,Maillage entre chercheurs et apprentissage entre pairs via des communautés de pratique.,Networking between researchers and peer learning through communities of practice.,Fusion potentielle intra-OS1 avec OS1-a (voir note sur OS1-a). Les deux actions visent des structures collaboratives d'apprentissage entre pairs très proches.,,,oui,non démarré
CA-RENF-OS2-a,Champ d'action : Renforcement des capacités,Assurer la cohérence des solutions existantes et nouvelles entre les axes et optimiser les solutions communes pour la recherche collaborative de bout en bout (end-to-end),"Assurer la réalisation des cartographies des assets critiques aux axes (des plateformes, des actifs et des capacités existantes) pour mieux identifier les complémentarités, les synergies potentielles et les opportunités d'amélioration","Ensure the mapping of critical assets across axes (platforms, assets and existing capabilities) to better identify complementarities, potential synergies and improvement opportunities",Répertoires & Cartographie,CLAIR,Cartographies des assets = répertoire,,,,R1,"Répertoire des expertises, actifs et infrastructures RSN","Bottin unifié des personnes, expertises, plateformes, actifs numériques et infrastructures du RSN, avec vue géographique.","Unified directory of people, expertise, platforms, digital assets and RSN infrastructure, with a geographic view.",,,,oui,en cours
CA-RENF-OS3-a,Champ d'action : Renforcement des capacités,Outiller les chercheur(e)s pour mesurer adéquatement l'impact de leurs activités en termes de capacité,Mettre en place un comité de suivi chargé d'évaluer les progrès réalisés et de suivre les impacts des initiatives entreprises,Set up a monitoring committee to evaluate progress and track the impacts of the initiatives undertaken,Maillage et Concertation,CLAIR,Comité de suivi avec mandat précis (évaluer progrès + suivre impacts initiatives) = structure interne,,,keep,M2,Comités et structures participatives,Création de comités spécifiques au sein du RSN pour la gouvernance participative.,Creation of dedicated committees within the RSN for participatory governance.,Action restaurée à sa formulation originale : la réécriture précédente (« Mettre en place un comité de suivi d'impact ») avait perdu le mandat précis du comité (évaluer les progrès + suivre les impacts des initiatives entreprises).,,,oui,non démarré
CA-RENF-OS3-b,Champ d'action : Renforcement des capacités,Outiller les chercheur(e)s pour mesurer adéquatement l'impact de leurs activités en termes de capacité,"Revoir les critères et cadres existants, et définir ce qu'il est nécessaire de suivre et comment le faire","Review existing criteria and frameworks, and define what needs to be tracked and how",Guides & Outils,CLAIR,Revue des critères/cadres existants + définition du suivi = guide RSN du suivi,Revoir les critères et cadres existants pour produire un guide RSN du suivi : ce qu'il est nécessaire de suivre et comment le faire,"Review existing criteria and frameworks, and define what needs to be tracked and how",rewrite,G3,Grilles de référence par principe directeur,"Pour chaque principe directeur, produire UNE grille de référence couvrant à la fois les critères d'intégration dans les projets ET les indicateurs de mesure d'impact.","For each guiding principle, produce ONE reference grid covering both project-integration criteria AND impact indicators.",Reformulation hybride : préserve les deux temps de l'original (revue de l'existant + définition du suivi) en explicitant le livrable final (un guide RSN du suivi). Cadre général et méthodologique qui devient la base commune des grilles de référence par PD.,,,oui,non démarré
PD-ENG-OS1-a,Principe directeur : Engagement citoyen,Promouvoir le dialogue et l'engagement de la patientèle et du public autour des interventions en santé numérique,"Travailler en partenariat avec des organisations et communautés clés (CEPPP, Communauté expérience, Communauté expérience et partenariat des soins et de services) comme leviers pour les actions du principe fondateur et de ses membres (du co-développement à la communication)","Work in partnership with key organizations and communities (CEPPP, Patient Experience Community, Care & Service Partnership Community) as levers for the guiding principle's actions and members (from co-development to communication)",Maillage et Concertation,CLAIR,Partenariat avec organisations = maillage,,,keep,M4,Partenariats externes et maillage inter-sectoriel,"Liens avec des organisations, experts et milieux preneurs hors RSN.","Links with organizations, experts and end-user settings outside the RSN.",,,,oui,en cours
PD-ENG-OS1-b,Principe directeur : Engagement citoyen,Promouvoir le dialogue et l'engagement de la patientèle et du public autour des interventions en santé numérique,Recenser et analyser les attentes et les besoins de la patientèle et du public en santé numérique au travers de différents types de consultation et d'implication,Identify and analyze patient and public expectations and needs in digital health through different forms of consultation and involvement,Écoute et Consultation,CLAIR,Recenser besoins = consultation,,,keep,É1,Consultations des besoins par public cible,"Consultations, ateliers et enquêtes pour identifier les besoins et attentes de groupes spécifiques du RSN.","Consultations, workshops and surveys to identify the needs and expectations of specific RSN groups.",,,,oui,non démarré
PD-ENG-OS1-c,Principe directeur : Engagement citoyen,Promouvoir le dialogue et l'engagement de la patientèle et du public autour des interventions en santé numérique,"Recenser et identifier les meilleurs outils, méthodes et pratiques de dialogue et de partenariat pour promouvoir le rapprochement et les échanges entre la communauté de recherche et de la patientèle et du public en santé numérique","Identify the best tools, methods and practices for dialogue and partnership to foster engagement between the research community and patients and the public in digital health",Répertoires & Cartographie,CLAIR,Recenser outils et méthodes = répertoire,,,,R3,Répertoire des outils et ressources thématiques,"Inventaire des outils, méthodes et ressources existants par thématique transversale (EDIA, engagement citoyen, science ouverte, etc.).","Inventory of existing tools, methods and resources by cross-cutting theme (EDIA, citizen engagement, open science, etc.).",,,,oui,en cours
PD-ENG-OS2-a,Principe directeur : Engagement citoyen,Favoriser la co-construction de projets en santé numérique avec la patientèle et le public,"Favoriser l'intégration des concepts et méthodes de co-construction et de partenariat dans les interventions numériques provinciales en cours de réalisation, telles que le Dossier santé numérique (et son volet portail patient My Chart)","Foster the integration of co-construction and partnership concepts and methods in provincial digital interventions under way, such as the Digital Health Record (and its patient-portal component My Chart)",Influence & Représentation,CLAIR,Intégration des méthodes de co-construction dans les instances DSN/MyChart = influence,,,keep,I2,Représentation dans les instances,Présence active du RSN dans les comités et projets gouvernementaux pour influencer les décisions.,Active RSN presence in government committees and projects to influence decisions.,Action restaurée à sa formulation originale : la réécriture précédente avait perdu la dimension « concepts et méthodes de co-construction » qui est au cœur du principe Engagement citoyen.,,,oui,non démarré
PD-ENG-OS2-b,Principe directeur : Engagement citoyen,Favoriser la co-construction de projets en santé numérique avec la patientèle et le public,Former un comité patientèle et public au sein du RSN qui se fixerait des objectifs à court terme (ex. intégrer un axe Santé numérique dans le Programme national de santé publique pour une santé plus connectée inclusive et innovante),"Form a patient and public committee within the RSN that sets short-term goals (e.g. integrate a Digital Health axis in the National Public Health Program for a more connected, inclusive and innovative health system)",Maillage et Concertation,CLAIR,Former un comité = concertation,,,keep,M2,Comités et structures participatives,Création de comités spécifiques au sein du RSN pour la gouvernance participative.,Creation of dedicated committees within the RSN for participatory governance.,,,,oui,terminé
PD-ENG-OS3-a,Principe directeur : Engagement citoyen,Favoriser l'accessibilité de la patientèle et du public aux connaissances et interventions en santé numérique,"Définir les modalités d'engagement et de partage des connaissances (symposium, journée scientifique, feuille de route, etc.) pour le développement des interventions en santé numérique","Define engagement and knowledge-sharing modalities (symposium, scientific day, roadmap, etc.) for developing digital health interventions",Guides & Outils,CLAIR,Cadre opérationnel des modalités d'engagement = guide de bonnes pratiques participatives,,,keep,G1,Harmonisation des bonnes pratiques méthodologiques,"Produire un cadre commun de bonnes pratiques pour la communauté de recherche, accessible en français.","Produce a common framework of best practices for the research community, accessible in French.","Action restaurée à sa formulation originale et déplacée de G2 vers G1. Ce livrable produit un guide opérationnel sur les modalités d'engagement (formats : symposiums, journées, feuilles de route), ce qui élargit le périmètre de G1 aux méthodologies participatives en plus des méthodologies quantitatives portées par A2/A3. Voir GAP-DEF-ENG pour la définition d'engagement citoyen à ajouter au lexique G2.",,,oui,non démarré
PD-ENG-OS3-b,Principe directeur : Engagement citoyen,Favoriser l'accessibilité de la patientèle et du public aux connaissances et interventions en santé numérique,Développer ou promouvoir des balados et webinaires pour partager les résultats scientifiques et les bénéfices du partenariat en s'appuyant sur la vision et contribution de la patientèle et du public,"Develop or promote podcasts and webinars to share scientific findings and partnership benefits, leveraging the vision and contribution of patients and the public",Événements & Rayonnement,CLAIR,Balados et webinaires = événements,,,,Év3,Communications et contenus de diffusion,"Production de contenus (bulletins, balados, réseaux sociaux) pour le rayonnement du réseau.","Content production (newsletters, podcasts, social media) for network outreach.",,,,oui,non démarré
PD-ENG-OS3-c,Principe directeur : Engagement citoyen,Favoriser l'accessibilité de la patientèle et du public aux connaissances et interventions en santé numérique,Soutenir la communauté de recherche dans l'organisation de conférences accessibles à la patientèle et au public pour favoriser le dialogue et l'engagement,Support the research community in organizing conferences accessible to patients and the public to foster dialogue and engagement,Événements & Rayonnement,MOYEN,'Soutenir l'organisation' est flou,Organiser des conférences accessibles au public,Support the research community in organizing conferences accessible to patients and the public to foster dialogue and engagement,,Év1,Événements organisés par le RSN,"Colloques, journées thématiques, ateliers et événements produits ou co-produits par le réseau.","Colloquia, thematic days, workshops and events produced or co-produced by the network.",,,,oui,en cours
PD-ENG-OS3-d,Principe directeur : Engagement citoyen,Favoriser l'accessibilité de la patientèle et du public aux connaissances et interventions en santé numérique,"Considérer pour ces actions les spécificités du Québec, ce qui s'applique et ce qui ne s'applique pas",Consider Québec specificities for these actions: what applies and what does not,Répertoires & Cartographie,CLAIR,Étude des spécificités québécoises = veille thématique pour adapter les outils,"Réaliser une étude comparative des spécificités québécoises en engagement citoyen et partenariat patient (cadre légal, contexte sociopolitique, pratiques de la patientèle québécoise) pour adapter les modalités et outils du principe directeur au contexte local",Consider Québec specificities for these actions: what applies and what does not,rewrite,R3,Répertoire des outils et ressources thématiques,"Inventaire des outils, méthodes et ressources existants par thématique transversale (EDIA, engagement citoyen, science ouverte, gouvernance, etc.).","Inventory of existing tools, methods and resources by cross-cutting theme (EDIA, citizen engagement, open science, governance, etc.).",Reformulée en étude comparative et déplacée de C5-2 vers R3 : alimente la veille thématique sur les pratiques québécoises (cohérent avec PD-SCI-OS1-c pour Science ouverte et PD-DUR-OS1-a pour Santé durable).,,,oui,non démarré
PD-CONF-OS1-a,Principe directeur : Numérique de confiance,Intégrer une vision partagée du numérique de confiance dans les axes et les actions du RSN,Organiser des rencontres transversales avec les axes et les principes du RSN pour définir une définition partagée du numérique de confiance,Organize cross-cutting meetings with the RSN axes and guiding principles to build a shared definition of trustworthy digital,Maillage et Concertation,CLAIR,Rencontres transversales = concertation,,,keep,M1,Tables de concertation thématiques,Espaces de discussion inter-groupes au sein du RSN autour de thèmes spécifiques.,Cross-group discussion spaces within the RSN around specific themes.,,,,oui,en cours
PD-CONF-OS1-b,Principe directeur : Numérique de confiance,Intégrer une vision partagée du numérique de confiance dans les axes et les actions du RSN,Identifier les attentes spécifiques par axe ou champ d'action lors de rencontres bilatérales,Identify specific expectations per axis or field of action through bilateral meetings,Écoute et Consultation,CLAIR,Identifier attentes = consultation,,,keep,É1,Consultations des besoins par public cible,"Consultations, ateliers et enquêtes pour identifier les besoins et attentes de groupes spécifiques du RSN.","Consultations, workshops and surveys to identify the needs and expectations of specific RSN groups.",,,,oui,en cours
PD-CONF-OS1-c,Principe directeur : Numérique de confiance,Intégrer une vision partagée du numérique de confiance dans les axes et les actions du RSN,Produire une première ébauche de la définition sous forme de fiche ou infographie à valider collectivement,Produce an initial draft of the definition as a brief or infographic for collective validation,Guides & Outils,CLAIR,Fiche ou infographie = guide,,,keep,G2,Lexique RSN — Définitions communes,Établir une définition partagée pour chacun des principes directeurs du RSN. Tous les principes devraient être représentés.,Establish a shared definition for each RSN guiding principle. All principles should be represented.,,,,oui,en cours
PD-CONF-OS2-a1,Principe directeur : Numérique de confiance,Renforcer la compréhension des perspectives citoyennes et usagères dans la conception des projets,"Cartographier les organisations et instances clés en numérique de confiance (CEPPP, FRQ, etc.)","Map key organizations and bodies in trustworthy digital (CEPPP, FRQ, etc.)",Répertoires & Cartographie,CLAIR,Cartographier organisations = répertoire,,,rewrite,R1,"Répertoire des expertises, actifs et infrastructures RSN","Bottin unifié des personnes, expertises, plateformes, actifs numériques et infrastructures du RSN, avec vue géographique.","Unified directory of people, expertise, platforms, digital assets and RSN infrastructure, with a geographic view.",Séparé de PD-CONF-OS2-a — volet organisations/entités pour R1. À reformuler pour préciser quelles organisations sont visées.,,,oui,non démarré
PD-CONF-OS2-a2,Principe directeur : Numérique de confiance,Renforcer la compréhension des perspectives citoyennes et usagères dans la conception des projets,Recenser les patients partenaires et groupes citoyens impliqués en numérique de confiance,List patient partners and citizen groups involved in trustworthy digital,Écoute et Consultation,CLAIR,Recenser parties prenantes citoyennes = consultation,,,rewrite,É2,Engagement citoyen et coconstruction,Groupes de discussion et mobilisation de patients partenaires pour coconstruire des critères et priorités.,Focus groups and patient-partner mobilization to co-construct criteria and priorities.,Déplacé vers Consultation & Écoute — recenser les patients/citoyens en vue de les consulter. Cohérent avec PD-CONF-OS2-b (groupes de discussion) et OS2-c (comités patients) déjà dans ce chantier.,,,oui,non démarré
PD-CONF-OS2-b,Principe directeur : Numérique de confiance,Renforcer la compréhension des perspectives citoyennes et usagères dans la conception des projets,Organiser des groupes de discussion citoyens pour coconstruire des critères de confiance,Organize citizen focus groups to co-construct trust criteria,Écoute et Consultation,CLAIR,Groupes de discussion = consultation,,,keep,É2,Engagement citoyen et coconstruction,Groupes de discussion et mobilisation de patients partenaires pour coconstruire des critères et priorités.,Focus groups and patient-partner mobilization to co-construct criteria and priorities.,,,,oui,non démarré
PD-CONF-OS2-c,Principe directeur : Numérique de confiance,Renforcer la compréhension des perspectives citoyennes et usagères dans la conception des projets,Mobiliser les comités de patients partenaires avant de lancer une consultation citoyenne plus large,Mobilize patient partner committees before launching a broader citizen consultation,Écoute et Consultation,CLAIR,Mobiliser comités patients = consultation,,,keep,É2,Engagement citoyen et coconstruction,Groupes de discussion et mobilisation de patients partenaires pour coconstruire des critères et priorités.,Focus groups and patient-partner mobilization to co-construct criteria and priorities.,,,,oui,non démarré
PD-CONF-OS3-a,Principe directeur : Numérique de confiance,"Favoriser des normes et pratiques partagées autour de la transparence, la sécurité, l'éthique, l'éco-responsabilité et la réciprocité","Développer une feuille de route de critères de confiance à appliquer dans les projets (sécurité, éthique, validité, UX)","Develop a roadmap of trust criteria to apply across projects (security, ethics, validity, UX)",Guides & Outils,CLAIR,Feuille de route = guide,,,rewrite,G3,Grilles de référence par principe directeur,"Pour chaque principe directeur, produire UNE grille de référence couvrant à la fois les critères d'intégration dans les projets ET les indicateurs de mesure d'impact.","For each guiding principle, produce ONE reference grid covering both project-integration criteria AND impact indicators.","À reformuler : « Développer une grille de référence Numérique de confiance — critères d'intégration dans les projets et indicateurs d'évaluation de l'impact ». Seule grille existante, modèle pour les autres.",,,oui,non démarré
PD-CONF-OS3-b,Principe directeur : Numérique de confiance,"Favoriser des normes et pratiques partagées autour de la transparence, la sécurité, l'éthique, l'éco-responsabilité et la réciprocité",Déployer cette feuille de route dans différents projets pilotes issus des axes du RSN,Deploy this roadmap in various pilot projects from the RSN axes,Guides & Outils,MOYEN,Déployer dans projets = accompagnement,,,keep,G3,Grilles de référence par principe directeur,"Pour chaque principe directeur, produire UNE grille de référence couvrant l'ensemble des engagements RSN.","For each guiding principle, produce ONE reference grid covering all RSN commitments.",À fusionner avec PD-CONF-OS3-a — le déploiement de la feuille de route fait partie du même projet que sa création.,,,oui,non démarré
PD-CONF-OS3-c,Principe directeur : Numérique de confiance,"Favoriser des normes et pratiques partagées autour de la transparence, la sécurité, l'éthique, l'éco-responsabilité et la réciprocité","Faire connaître ces outils aux parties prenantes concernées : chercheurs, porteurs de projets, comités d'éthique","Make these tools known to the relevant stakeholders: researchers, project leads, ethics committees",Événements & Rayonnement,CLAIR,Faire connaître outils à des destinataires précis = diffusion ciblée,,,keep,Év2,Participations et interventions externes,"Présence du RSN dans des événements organisés par d'autres : congrès, partenaires, industrie.","RSN presence at events hosted by others: conferences, partners, industry.","Action restaurée à sa formulation originale : la réécriture précédente (« Organiser des sessions de présentation ») avait perdu les destinataires explicites (chercheurs, porteurs de projets, comités d'éthique) qui sont au cœur de l'action.",,,oui,non démarré
PD-DUR-OS1-a,Principe directeur : Santé durable,Former et sensibiliser les membres du réseau et les parties prenantes sur la santé numérique durable,Effectuer une revue de la littérature nationale et internationale pour investiguer les concepts et les interventions à l'intersection de la santé durable et de la santé numérique,Conduct a national and international literature review to explore concepts and interventions at the intersection of sustainable health and digital health,Répertoires & Cartographie,CLAIR,Revue de littérature qui alimente le répertoire R3 par sa thématique santé durable × numérique,,,keep,R3,Répertoire des outils et ressources thématiques,"Inventaire des outils, méthodes et ressources existants par thématique transversale (EDIA, engagement citoyen, science ouverte, gouvernance, etc.).","Inventory of existing tools, methods and resources by cross-cutting theme (EDIA, citizen engagement, open science, governance, etc.).",Action conservée à sa formulation originale. R3 reste le chantier d'accueil : la revue alimente le répertoire par identification de concepts et interventions à l'intersection santé durable × numérique (même logique que PD-SCI-OS1-b/c).,,,oui,en cours
PD-DUR-OS1-b,Principe directeur : Santé durable,Former et sensibiliser les membres du réseau et les parties prenantes sur la santé numérique durable,Proposer une définition commune de la santé durable dans un contexte de santé numérique pour le RSN (lexique commun ou une cartographie des concepts clés),Propose a shared definition of sustainable health in a digital health context for the RSN (common lexicon or map of key concepts),Guides & Outils,CLAIR,Définition/lexique = guide,,,keep,G2,Lexique RSN — Définitions communes,Établir une définition partagée pour chacun des principes directeurs du RSN. Tous les principes devraient être représentés.,Establish a shared definition for each RSN guiding principle. All principles should be represented.,,,,oui,en cours
PD-DUR-OS1-c,Principe directeur : Santé durable,Former et sensibiliser les membres du réseau et les parties prenantes sur la santé numérique durable,Organiser une réflexion stratégique sur les données et la santé durable en communication avec les autres acteurs du RSN : quelles données et quelles interventions prioriser au service de la santé durable ?,Lead strategic reflection on data and sustainable health together with other RSN actors: which data and which interventions should be prioritized to serve sustainable health?,Maillage et Concertation,CLAIR,Réflexion stratégique = concertation,,,keep,M1,Tables de concertation thématiques,Espaces de discussion inter-groupes au sein du RSN autour de thèmes spécifiques.,Cross-group discussion spaces within the RSN around specific themes.,,,,oui,non démarré
PD-DUR-OS2-a,Principe directeur : Santé durable,Structurer les partenariats et identifier les ressources pour soutenir les projets porteurs en santé durable,"Identifier et cartographier les partenariats potentiels (ex. milieux ruraux, communautaires, autochtones, municipalités) et définir des rôles potentiels de chacun","Identify and map potential partnerships (e.g. rural, community, Indigenous, municipal) and define potential roles for each",Maillage et Concertation,CLAIR,Identifier partenaires externes = maillage,,,keep,M4,Partenariats externes et maillage inter-sectoriel,"Liens avec des organisations, experts et milieux preneurs hors RSN.","Links with organizations, experts and end-user settings outside the RSN.","Déplacé de Répertoires vers Concertation & Maillage — identifier et structurer des partenariats externes est du maillage, pas une cartographie d'actifs RSN.",,,oui,non démarré
PD-DUR-OS2-b,Principe directeur : Santé durable,Structurer les partenariats et identifier les ressources pour soutenir les projets porteurs en santé durable,Solliciter (afin d'identifier) les citoyens et citoyennes prêts à contribuer à travers différents types de données pour développer des projets et des outils,Reach out to (and identify) citizens willing to contribute through various data types to develop projects and tools,Écoute et Consultation,CLAIR,Solliciter citoyens = consultation,,,keep,É2,Engagement citoyen et coconstruction,Groupes de discussion et mobilisation de patients partenaires pour coconstruire des critères et priorités.,Focus groups and patient-partner mobilization to co-construct criteria and priorities.,,,,oui,non démarré
PD-DUR-OS2-c,Principe directeur : Santé durable,Structurer les partenariats et identifier les ressources pour soutenir les projets porteurs en santé durable,Commencer à identifier des projets dans les autres axes du RSN à fort impact en santé durable à soutenir,Begin identifying projects in other RSN axes with high sustainable-health impact to support,Maillage et Concertation,CLAIR,Recenser projets inter-axes + définir modalités de soutien = maillage interne,Recenser les projets à fort impact santé durable dans les autres axes du RSN et identifier les modalités de soutien,Begin identifying projects in other RSN axes with high sustainable-health impact to support,rewrite,M1,Tables de concertation thématiques,Espaces de discussion inter-groupes au sein du RSN autour de thèmes spécifiques.,Cross-group discussion spaces within the RSN around specific themes.,Reformulée pour combiner recensement et modalités de soutien (les deux dimensions étaient présentes dans l'original « à fort impact... à soutenir »). Reste en C3-1 : la coordination inter-axes pour soutenir les projets passe par la concertation thématique.,,,oui,non démarré
PD-DUR-OS2-d,Principe directeur : Santé durable,Structurer les partenariats et identifier les ressources pour soutenir les projets porteurs en santé durable,Identifier les chercheurs-euses ayant une expertise en santé géographique et en géomatique à impliquer au principe fondateur pour accroître la capacité du RSN à soutenir les projets en lien avec des municipalités,"Identify researchers with expertise in geographic health and geomatics to involve in the guiding principle, to grow the RSN's capacity to support projects linked to municipalities",Répertoires & Cartographie,CLAIR,Identifier chercheurs = répertoire,,,,R1,"Répertoire des expertises, actifs et infrastructures RSN","Bottin unifié des personnes, expertises, plateformes, actifs numériques et infrastructures du RSN, avec vue géographique.","Unified directory of people, expertise, platforms, digital assets and RSN infrastructure, with a geographic view.",,,,oui,non démarré
PD-DUR-OS3-a,Principe directeur : Santé durable,Formuler des recommandations pour assurer la santé numérique durable au Québec,"Élaborer un énoncé politique ou manifeste de l'axe santé durable en collaboration avec l'axe 1 et visant l'intégration des données plurielles et l'accès pour la recherche (en lien avec auto-gestion, prévention, promotion de la santé)","Develop a policy statement or manifesto for sustainable health, jointly with Axis 1, aiming for integration of multiple data types and access for research (linked to self-management, prevention, health promotion)",Influence & Représentation,CLAIR,Énoncé politique = influence,,,keep,I1,Plaidoyers et prises de position,"Manifestes, énoncés politiques et documents d'influence pour porter les enjeux du RSN.","Manifestos, policy statements and advocacy documents to advance RSN priorities.",,A1-OS1-a,,oui,en cours
PD-DUR-OS3-b,Principe directeur : Santé durable,Formuler des recommandations pour assurer la santé numérique durable au Québec,Organiser un atelier de réflexion autour de l'IA et son impact en matière de durabilité,Organize a reflection workshop on AI and its impact on sustainability,Événements & Rayonnement,CLAIR,Atelier de réflexion = événement,,,,Év1,Événements organisés par le RSN,"Colloques, journées thématiques, ateliers et événements produits ou co-produits par le réseau.","Colloquia, thematic days, workshops and events produced or co-produced by the network.",,,,oui,non démarré
PD-SCI-OS1-a,Principe directeur : Science ouverte,Favoriser la mise en place d'un référentiel commun et accessible pour la science ouverte,"Élaborer un sondage auprès des membres du Réseau pour identifier leurs pratiques de partage des données et connaissances, ainsi que leurs besoins",Design a survey of RSN members to identify their data and knowledge-sharing practices and needs,Écoute et Consultation,CLAIR,Sondage = consultation,,,keep,É3,Sondages et outils de collecte,Formulaires et sondages structurés pour recueillir des données auprès des membres.,Structured forms and surveys to gather data from members.,,,,oui,en cours
